id;choix;cote_gauche;cote_droite
P-13;gauche;B;A
O-12;gauche;A;B
O-03;droite;B;A
P-05;gauche;B;A
C-14;droite;A;B
O-06;droite;B;A
O-07;droite;A;B
P-11;droite;A;B
P-10;egales;B;A
P-04;egales;A;B
C-05;gauche;B;A
O-05;egales;B;A
C-06;droite;B;A
C-13;egales;B;A
O-13;droite;B;A
O-02;droite;A;B
P-12;egales;B;A
C-03;droite;B;A
O-09;droite;B;A
O-08;droite;B;A
C-07;gauche;B;A
C-09;gauche;B;A
C-02;gauche;A;B
P-06;gauche;A;B
C-08;gauche;B;A
P-03;egales;A;B
O-01;droite;B;A
C-12;gauche;B;A
C-11;gauche;B;A
P-07;egales;B;A
O-11;droite;A;B
P-02;droite;A;B
O-10;droite;B;A
O-04;droite;A;B
P-01;gauche;B;A
C-04;droite;A;B
P-09;egales;A;B
C-10;droite;B;A
P-08;droite;A;B
C-01;droite;A;B
